binned_coordinates,updated_type,updated_subtype,hour,alert_count,binned_longitude,binned_latitude
"(-87.74, 41.87)",Accident,Major,12:00,6,-87.74,41.87
"(-87.64, 41.85)",Accident,Major,12:00,6,-87.64,41.85
"(-87.63, 41.76)",Accident,Major,12:00,6,-87.63,41.76
"(-87.82, 41.98)",Accident,Major,12:00,5,-87.82,41.98
"(-87.76, 41.97)",Accident,Major,12:00,5,-87.76,41.97
"(-87.73, 41.87)",Accident,Major,12:00,5,-87.73,41.87
"(-87.72, 41.87)",Accident,Major,12:00,5,-87.72,41.87
"(-87.7, 41.83)",Accident,Major,12:00,5,-87.7,41.83
"(-87.68, 41.88)",Accident,Major,12:00,5,-87.68,41.88
"(-87.64, 41.86)",Accident,Major,13:00,13,-87.64,41.86
"(-87.68, 41.88)",Accident,Major,13:00,11,-87.68,41.88
"(-87.64, 41.85)",Accident,Major,13:00,10,-87.64,41.85
"(-87.63, 41.82)",Accident,Major,13:00,9,-87.63,41.82
"(-87.61, 41.71)",Accident,Major,13:00,9,-87.61,41.71
"(-87.63, 41.84)",Accident,Major,13:00,8,-87.63,41.84
"(-87.75, 41.96)",Accident,Major,13:00,7,-87.75,41.96
"(-87.72, 41.87)",Accident,Major,13:00,7,-87.72,41.87
"(-87.64, 41.87)",Accident,Major,13:00,7,-87.64,41.87
"(-87.74, 41.82)",Accident,Major,13:00,6,-87.74,41.82
"(-87.64, 41.85)",Accident,Major,14:00,11,-87.64,41.85
"(-87.76, 41.97)",Accident,Major,14:00,9,-87.76,41.97
"(-87.63, 41.81)",Accident,Major,14:00,8,-87.63,41.81
"(-87.73, 41.95)",Accident,Major,14:00,7,-87.73,41.95
"(-87.71, 41.94)",Accident,Major,14:00,7,-87.71,41.94
"(-87.64, 41.87)",Accident,Major,14:00,6,-87.64,41.87
"(-87.79, 41.98)",Accident,Major,14:00,5,-87.79,41.98
"(-87.74, 41.82)",Accident,Major,14:00,5,-87.74,41.82
"(-87.74, 41.87)",Accident,Major,14:00,5,-87.74,41.87
"(-87.72, 41.87)",Accident,Major,14:00,5,-87.72,41.87
"(-87.64, 41.87)",Accident,Major,15:00,8,-87.64,41.87
"(-87.72, 41.87)",Accident,Major,15:00,7,-87.72,41.87
"(-87.66, 41.88)",Accident,Major,15:00,7,-87.66,41.88
"(-87.66, 41.9)",Accident,Major,15:00,7,-87.66,41.9
"(-87.64, 41.86)",Accident,Major,15:00,7,-87.64,41.86
"(-87.76, 41.97)",Accident,Major,15:00,6,-87.76,41.97
"(-87.65, 41.89)",Accident,Major,15:00,6,-87.65,41.89
"(-87.63, 41.79)",Accident,Major,15:00,6,-87.63,41.79
"(-87.63, 41.84)",Accident,Major,15:00,6,-87.63,41.84
"(-87.74, 41.82)",Accident,Major,15:00,5,-87.74,41.82
"(-87.76, 41.97)",Accident,Major,16:00,11,-87.76,41.97
"(-87.64, 41.87)",Accident,Major,16:00,10,-87.64,41.87
"(-87.66, 41.9)",Accident,Major,16:00,9,-87.66,41.9
"(-87.65, 41.88)",Accident,Major,16:00,8,-87.65,41.88
"(-87.65, 41.89)",Accident,Major,16:00,7,-87.65,41.89
"(-87.64, 41.85)",Accident,Major,16:00,7,-87.64,41.85
"(-87.63, 41.79)",Accident,Major,16:00,6,-87.63,41.79
"(-87.63, 41.82)",Accident,Major,16:00,6,-87.63,41.82
"(-87.63, 41.85)",Accident,Major,16:00,5,-87.63,41.85
"(-87.65, 41.85)",Accident,Major,16:00,4,-87.65,41.85
"(-87.64, 41.87)",Accident,Major,17:00,9,-87.64,41.87
"(-87.66, 41.9)",Accident,Major,17:00,8,-87.66,41.9
"(-87.65, 41.88)",Accident,Major,17:00,8,-87.65,41.88
"(-87.75, 41.97)",Accident,Major,17:00,7,-87.75,41.97
"(-87.73, 41.87)",Accident,Major,17:00,7,-87.73,41.87
"(-87.72, 41.87)",Accident,Major,17:00,7,-87.72,41.87
"(-87.63, 41.79)",Accident,Major,17:00,7,-87.63,41.79
"(-87.63, 41.84)",Accident,Major,17:00,7,-87.63,41.84
"(-87.79, 41.98)",Accident,Major,17:00,6,-87.79,41.98
"(-87.76, 41.87)",Accident,Major,17:00,6,-87.76,41.87
"(-87.64, 41.87)",Accident,Major,18:00,19,-87.64,41.87
"(-87.66, 41.9)",Accident,Major,18:00,11,-87.66,41.9
"(-87.63, 41.81)",Accident,Major,18:00,11,-87.63,41.81
"(-87.72, 41.87)",Accident,Major,18:00,10,-87.72,41.87
"(-87.68, 41.88)",Accident,Major,18:00,10,-87.68,41.88
"(-87.64, 41.85)",Accident,Major,18:00,9,-87.64,41.85
"(-87.63, 41.76)",Accident,Major,18:00,9,-87.63,41.76
"(-87.61, 41.71)",Accident,Major,18:00,9,-87.61,41.71
"(-87.77, 41.97)",Accident,Major,18:00,8,-87.77,41.97
"(-87.65, 41.88)",Accident,Major,18:00,7,-87.65,41.88
"(-87.66, 41.9)",Accident,Major,19:00,30,-87.66,41.9
"(-87.65, 41.88)",Accident,Major,19:00,18,-87.65,41.88
"(-87.63, 41.78)",Accident,Major,19:00,17,-87.63,41.78
"(-87.68, 41.88)",Accident,Major,19:00,15,-87.68,41.88
"(-87.64, 41.87)",Accident,Major,19:00,15,-87.64,41.87
"(-87.66, 41.88)",Accident,Major,19:00,14,-87.66,41.88
"(-87.63, 41.76)",Accident,Major,19:00,14,-87.63,41.76
"(-87.65, 41.89)",Accident,Major,19:00,13,-87.65,41.89
"(-87.72, 41.82)",Accident,Major,19:00,11,-87.72,41.82
"(-87.72, 41.87)",Accident,Major,19:00,11,-87.72,41.87
"(-87.65, 41.88)",Accident,Major,20:00,22,-87.65,41.88
"(-87.66, 41.88)",Accident,Major,20:00,19,-87.66,41.88
"(-87.65, 41.89)",Accident,Major,20:00,19,-87.65,41.89
"(-87.64, 41.87)",Accident,Major,20:00,16,-87.64,41.87
"(-87.67, 41.88)",Accident,Major,20:00,15,-87.67,41.88
"(-87.64, 41.85)",Accident,Major,20:00,13,-87.64,41.85
"(-87.63, 41.81)",Accident,Major,20:00,12,-87.63,41.81
"(-87.66, 41.9)",Accident,Major,20:00,11,-87.66,41.9
"(-87.63, 41.84)",Accident,Major,20:00,11,-87.63,41.84
"(-87.71, 41.87)",Accident,Major,20:00,9,-87.71,41.87
"(-87.66, 41.9)",Accident,Major,21:00,188,-87.66,41.9
"(-87.64, 41.87)",Accident,Major,21:00,16,-87.64,41.87
"(-87.65, 41.88)",Accident,Major,21:00,13,-87.65,41.88
"(-87.66, 41.88)",Accident,Major,21:00,12,-87.66,41.88
"(-87.63, 41.79)",Accident,Major,21:00,12,-87.63,41.79
"(-87.67, 41.88)",Accident,Major,21:00,11,-87.67,41.88
"(-87.63, 41.78)",Accident,Major,21:00,11,-87.63,41.78
"(-87.63, 41.84)",Accident,Major,21:00,11,-87.63,41.84
"(-87.63, 41.85)",Accident,Major,21:00,10,-87.63,41.85
"(-87.64, 41.86)",Accident,Major,21:00,9,-87.64,41.86
"(-87.64, 41.87)",Accident,Major,22:00,26,-87.64,41.87
"(-87.65, 41.89)",Accident,Major,22:00,22,-87.65,41.89
"(-87.66, 41.9)",Accident,Major,22:00,17,-87.66,41.9
"(-87.66, 41.88)",Accident,Major,22:00,13,-87.66,41.88
"(-87.63, 41.81)",Accident,Major,22:00,12,-87.63,41.81
"(-87.65, 41.88)",Accident,Major,22:00,10,-87.65,41.88
"(-87.64, 41.85)",Accident,Major,22:00,10,-87.64,41.85
"(-87.63, 41.85)",Accident,Major,22:00,10,-87.63,41.85
"(-87.69, 41.93)",Accident,Major,22:00,9,-87.69,41.93
"(-87.67, 41.84)",Accident,Major,22:00,9,-87.67,41.84
"(-87.64, 41.87)",Accident,Major,23:00,14,-87.64,41.87
"(-87.66, 41.9)",Accident,Major,23:00,13,-87.66,41.9
"(-87.63, 41.79)",Accident,Major,23:00,11,-87.63,41.79
"(-87.79, 41.98)",Accident,Major,23:00,10,-87.79,41.98
"(-87.64, 41.86)",Accident,Major,23:00,10,-87.64,41.86
"(-87.76, 41.87)",Accident,Major,23:00,9,-87.76,41.87
"(-87.64, 41.85)",Accident,Major,23:00,8,-87.64,41.85
"(-87.81, 41.98)",Accident,Major,23:00,7,-87.81,41.98
"(-87.66, 41.88)",Accident,Major,23:00,7,-87.66,41.88
"(-87.65, 41.89)",Accident,Major,23:00,7,-87.65,41.89
"(-87.74, 41.96)",Accident,Minor,00:00,5,-87.74,41.96
"(-87.65, 41.87)",Accident,Minor,00:00,5,-87.65,41.87
"(-87.79, 41.98)",Accident,Minor,00:00,4,-87.79,41.98
"(-87.76, 41.87)",Accident,Minor,00:00,4,-87.76,41.87
"(-87.74, 41.82)",Accident,Minor,00:00,4,-87.74,41.82
